key,code,moment,startDate,expirationDate,amount,type,contact,link,draftMode,key:project,key:sponsor
sponsorship-19,"SPO-019",2022/01/01 17:30,2022/01/15 17:30,2022/04/01 17:30,"EUR 1000.00",FINANCIAL,"john.doe@example.com","https://www.example.com",true,project-03,sponsor-02
sponsorship-20,"SPO-020",2022/01/01 17:30,2022/01/15 17:30,2022/04/01 17:30,"EUR 1020.00",IN_KIND,"contacto@empresa.com","https://www.example.com",true,project-04,sponsor-02
sponsorship-21,"SPO-021",2022/01/01 17:30,2022/01/15 17:30,2022/04/01 17:30,"EUR 1030.00",FINANCIAL,"customer_support@company.org","https://www.example.com",true,project-04,sponsor-01
sponsorship-22,"SPO-022",2022/01/01 17:30,2022/01/15 17:30,2022/04/01 17:30,"EUR 1055.00",IN_KIND,"info@acme.co.uk","https://www.example.com",true,project-04,sponsor-01
sponsorship-23,"SPO-023",2022/01/01 17:30,2022/01/15 17:30,2022/04/01 17:30,"EUR 2005.00",FINANCIAL,"example@gmail.com",,true,project-05,sponsor-02
sponsorship-24,"SPO-024",2022/01/01 17:30,2022/01/15 17:30,2022/04/01 17:30,"EUR 600.00",FINANCIAL,"example@gmail.com","https://www.example.org/sponsorship-info",true,project-05,sponsor-01
sponsorship-25,"SPO-025",2022/01/01 17:30,2022/01/15 17:30,2022/04/01 17:30,"EUR 700.00",FINANCIAL,"example@gmail.com","ftp://user:password@example.com:21/folder/document.pdf?query=value#fragment",true,project-05,sponsor-01
sponsorship-26,"SPO-026",2022/01/01 17:30,2022/01/15 17:30,2022/04/01 17:30,"EUR 880.00",FINANCIAL,"example@gmail.com","file:///C:/Users/User/Documents/file.txt",true,project-06,sponsor-02
sponsorship-27,"SPO-027",2022/01/01 17:30,2022/01/15 17:30,2022/04/01 17:30,"EUR 900.00",FINANCIAL,"example@gmail.com","mailto:someone@example.com?subject=Hello&body=Hello%20World",true,project-06,sponsor-02
sponsorship-28,"SPO-028",2022/01/01 17:30,2022/01/15 17:30,2022/04/01 17:30,"EUR 2000000.00",FINANCIAL,"example@gmail.com","https://png;base64iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAMAAAAoLQ9TAAAAFVBMVEX///8AAAD4+PhmZmY/Pz8zMzP8/Pz09PTMzMwD",true,project-06,sponsor-01
sponsorship-29,"SPO-029",2022/02/14 11:15,2022/01/15 17:30,2022/04/01 17:30,"EUR 2000000.00",FINANCIAL,"example@gmail.com","https://www.example.com",true,project-06,sponsor-01
sponsorship-30,"SPO-030",2022/02/14 11:15,2022/01/15 17:30,2022/04/01 17:30,"EUR 2000000.00",FINANCIAL,"example@gmail.com","https://www.example.com",true,project-06,sponsor-02
